"New Dwelling Completion (Number) by Type of House, Local Authority and"
"Quarter"

" "," ","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1"
" ","Wicklow (County Council)",7,12,17,17,4,17,17,5,6,16,18,8,9,11,19,26,15,36,65,55,28,60,55,96,65,85,79,94,113,91,93,148,181
" ","Cork (City Council)",10,2,1,2,1,1,6,1,4,57,1,45,4,5,7,0,2,18,20,19,11,13,4,17,32,1,15,39,26,13,29,60,23
" ","Dublin (City Council)",7,7,4,0,3,1,25,28,7,19,22,40,27,35,33,33,63,36,22,75,92,155,140,153,124,134,225,312,147,184,231,264,213
" ","Dun Laoire/Rathdown (County Council)",6,5,0,2,6,3,20,21,15,10,20,39,32,56,63,75,43,37,73,66,99,124,127,133,103,171,110,164,114,177,167,182,110
" ","Galway (City Council)",5,9,0,4,0,0,0,1,0,0,2,2,2,3,3,4,2,4,6,1,3,13,31,23,18,35,27,19,23,32,18,33,18
" ","South Dublin Co. Co. (County Council)",17,8,8,21,7,16,13,42,21,14,26,45,46,53,43,60,56,35,92,73,54,74,121,178,138,211,228,276,227,450,416,487,333
" ","Limerick City and County",1,2,12,16,6,12,0,31,7,0,2,9,2,4,9,7,5,8,13,28,35,31,35,40,38,48,46,164,89,72,56,91,51
" ","Waterford City and County",60,3,5,3,6,2,5,6,3,6,6,9,7,0,1,8,2,21,12,11,28,15,35,67,23,39,37,51,45,49,78,100,46
" ","Tipperary County",12,50,12,8,9,1,9,3,2,5,3,2,2,2,1,1,4,4,3,9,6,4,5,2,2,3,10,9,3,7,6,7,18
"Apartment"
" ","All Local Authorities",272,217,185,148,123,76,93,154,77,144,39,213,160,241,170,177,106,161,255,151,341,252,288,287,481,455,645,644,476,487,614,771,613
" ","Carlow (County Council)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,3,0,2,2,0
" ","Cavan (County Council)",1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,5,0,3,0,3,0,10,11,5,1,0,6,0,0,6
" ","Clare (County Council)",1,0,5,1,2,0,0,0,0,1,1,0,0,0,2,1,0,0,1,1,6,0,2,0,0,0,2,12,0,0,2,0,0
" ","Cork (County Council)",1,17,37,5,0,0,4,5,2,0,0,3,1,4,0,4,2,2,7,1,13,3,9,21,15,20,20,5,20,27,16,4,12
" ","Donegal (County Council)",12,1,1,6,10,6,0,1,4,2,0,0,0,0,0,0,3,2,1,0,1,0,4,0,0,9,0,1,0,1,8,10,7
